2026-02-16 10:02:25.564 | LogicInit:46204 | INFO | current crashes folder: C:\Users\morne\AppData\Local\Marvel\Saved\Crashes
2026-02-16 10:02:25.565 | LogicInit:46204 | WARNING | version_info_path C:\dev\clg\MarvelGame\version.json not found
2026-02-16 10:02:25.565 | LogicInit:46204 | INFO | executed env check [check_season_crashes]
2026-02-16 10:02:25.565 | LogicInit:46204 | INFO | start execute env check [check_season_cache]
2026-02-16 10:02:25.565 | LogicInit:46204 | WARNING | Check local env check_season_cache failed: 'X20QMLContext' object has no attribute 'check_season_cache'
2026-02-16 10:02:25.565 | LogicInit:46204 | INFO | start execute env check [check_gpu_right_used]
2026-02-16 10:02:25.565 | LogicInit:46204 | INFO | executed env check [check_gpu_right_used]
2026-02-16 10:02:25.565 | LogicInit:46204 | INFO | start execute env check [check_win8rtm]
2026-02-16 10:02:25.565 | LogicInit:46204 | INFO | check win8rtm res: False
2026-02-16 10:02:25.565 | LogicInit:46204 | INFO | executed env check [check_win8rtm]
2026-02-16 10:02:25.566 | LogicInit:46204 | INFO | Start one time clear
2026-02-16 10:02:25.566 | LogicInit:46204 | INFO | Init finished, can click start button
2026-02-16 10:02:25.571 | MainThread:10584 | INFO | Handle initialize finished
2026-02-16 10:02:25.593 | GPURightUsedCheck:24624 | INFO | GPU NVIDIA GeForce RTX 3070 is current (has resolution: 1920x1080)
2026-02-16 10:02:25.593 | GPURightUsedCheck:24624 | INFO | GPU NVIDIA GeForce RTX 3070: is_current=True, is_discrete=True, AdapterRAM=0
2026-02-16 10:02:25.593 | GPURightUsedCheck:24624 | INFO | GPU right used check passed: Found current discrete GPU: NVIDIA GeForce RTX 3070
2026-02-16 10:02:25.753 | DRPF:53716 | INFO | [OpenLauncher] Send drpf success
2026-02-16 10:02:26.087 | DLLCheck:53232 | INFO | DLL check results written to C:\Users\morne\AppData\Local\Marvel\Saved\integrity_check_results.json
2026-02-16 10:02:26.888 | DRPF:24428 | INFO | [GPURightUsed] Send drpf success
2026-02-16 10:02:28.049 | MainThread:10584 | INFO | qml: Webengine request succeeded
2026-02-16 10:02:34.989 | MainThread:10584 | INFO | SyncLanguageWorker stop
2026-02-16 10:02:36.418 | MainThread:10584 | INFO | MetaInfoLogWorker stop
2026-02-16 10:02:38.418 | MainThread:10584 | INFO | GamepadMonitorWorker stop
2026-02-16 10:02:38.450 | MainThread:10584 | INFO | CheckGameExeVersionWorker stop
2026-02-16 10:02:40.267 | MainThread:10584 | INFO | Qt quit
2026-02-16 10:02:40.272 | MainThread:10584 | INFO | qml: MediaPlayer onDestruction
2026-02-16 10:02:40.272 | MainThread:10584 | INFO | qml: MediaPlayer cleanup completed
2026-02-16 10:02:42.277 | MainThread:10584 | INFO | ********************************* End, return code: 0 *********************************

[2026-02-16 10:02:18.120] [launcher] [info] LauncherApplication initialize
[2026-02-16 10:02:18.797] [launcher] [info] "C:\\dev\\clg\\temp\\.updater" deleted successfully.
